codigo_municipio_pni,vacina,cobertura_ano_anterior,tendencia,num_ubs,num_postos_saude,pib_per_capita,meta,vacina_BCG,vacina_Hepatite B,vacina_Poliomielite (3ª dose),vacina_Tríplice viral (D1),probabilidade_risco,nascidos_vivos,indice_urgencia
510840,Poliomielite (3ª dose),0.8566239316239316,-0.07000033007529605,31.0,1.0,46601.94349469138,0.95,False,False,True,False,0.8314991599022741,4680.0,3891.4160683426426
110020,BCG,0.8282514001244555,0.10144051844631718,61.0,20.0,55170.106899142986,0.9,True,False,False,False,0.6038143212101569,6428.0,3881.3184567388885
330350,Tríplice viral (D1),0.975407148322221,-0.17006512204173052,64.0,1.0,26109.53761896097,0.95,False,False,False,True,0.4218799156130745,9149.0,3859.7793479440184
520870,BCG,1.044574812215582,0.3265060158728268,107.0,0.0,52722.02487049228,0.9,True,False,False,False,0.2110690623465077,18239.0,3849.6886281379543
420240,Poliomielite (3ª dose),0.7298599954096856,-0.12731822241209656,81.0,0.0,68847.50914159016,0.95,False,False,True,False,0.8781500175910666,4357.0,3826.099626644277
172100,Hepatite B,0.755422153369481,-0.6869712266432498,51.0,1.0,46808.20437936913,0.95,False,True,False,False,0.7371308913033306,5164.0,3806.5439226903995
293330,Hepatite B,0.801931374563386,-0.11083321812423419,51.0,22.0,34152.83960536995,0.95,False,True,False,False,0.7791117733091711,4867.0,3791.937000695736
330100,BCG,0.8143146522619852,-0.200676829850451,90.0,3.0,88831.26318401787,0.9,True,False,False,False,0.6385789986833599,5924.0,3782.941988200224
330490,Tríplice viral (D1),1.0477597242737569,0.34885945882059033,131.0,33.0,25719.36806937097,0.95,False,False,False,True,0.46125269012873743,8124.0,3747.216854605863
350950,BCG,0.9801920768307324,-0.04213675003363737,69.0,6.0,80741.46896484517,0.9,True,False,False,False,0.31670679194617873,11662.0,3693.4346076763363
351620,Hepatite B,0.3357825128581925,-0.1797797361377914,24.0,0.0,40777.86949417932,0.95,False,True,False,False,0.8924659329234269,4083.0,3643.938404126352
410830,Poliomielite (3ª dose),0.7875430822255047,0.003929636847353479,42.0,0.0,59468.67193385071,0.95,False,False,True,False,0.892961142298244,4062.0,3627.208160015467
260790,BCG,0.946805702217529,-0.04070116214271258,134.0,0.0,31490.889498584707,0.9,True,False,False,False,0.4785906405259922,7576.0,3625.8026926249167
352940,Hepatite B,0.0750870213823968,-0.23444843094034157,25.0,0.0,59773.041235018325,0.95,False,True,False,False,0.8944067347137092,4022.0,3597.3038870185387
330510,Poliomielite (3ª dose),0.7392915026626534,-0.016625303457356133,23.0,0.0,26156.555440151307,0.95,False,False,True,False,0.8231305531625673,4319.0,3555.100859109128
412550,Poliomielite (3ª dose),0.8185840707964602,-0.1052904866137574,31.0,1.0,103019.05177958185,0.95,False,False,True,False,0.8670165040263726,4068.0,3527.023138379284
354100,Poliomielite (3ª dose),0.9027053859518492,0.42932484569483376,32.0,1.0,32567.8940374641,0.95,False,False,True,False,0.8723587015693749,4029.0,3514.7332086230113
210530,Poliomielite (3ª dose),0.7778877071481574,-0.07270941690741173,39.0,5.0,34695.91739592106,0.95,False,False,True,False,0.8679564065226618,4043.0,3509.1477515711217
352310,Poliomielite (3ª dose),0.9201848351186726,-0.03865598806486381,19.0,0.0,32439.94313181233,0.95,False,False,True,False,0.7330625299004038,4761.0,3490.1107048558224
350600,Poliomielite (3ª dose),0.7890604553781733,0.013486342643308946,29.0,5.0,54477.058969368,0.95,False,False,True,False,0.9103925050235797,3821.0,3478.609761695098
510760,Poliomielite (3ª dose),0.7877250824245499,-0.013905352358058787,70.0,1.0,67650.08513296668,0.95,False,False,True,False,0.8801524776524253,3943.0,3470.4412193835133
310620,BCG,1.1282358687447271,0.06474306800157814,173.0,1.0,56227.29318177892,0.9,True,False,False,False,0.15385436827295287,22521.0,3464.9542278751715
354100,Hepatite B,0.6326631918590221,0.023956137046538428,32.0,1.0,32567.8940374641,0.95,False,True,False,False,0.8596968379549036,4029.0,3463.7185601203064
351620,Poliomielite (3ª dose),0.7403869703649277,-0.09922146337001203,24.0,0.0,40777.86949417932,0.95,False,False,True,False,0.8452280051948377,4083.0,3451.065945210522
330170,Tríplice viral (D1),1.149958999589996,0.1993882698712841,83.0,29.0,86700.55471620135,0.95,False,False,False,True,0.35336782167697484,9756.0,3447.4564682805667
352940,Poliomielite (3ª dose),0.8896071606166086,-0.11381582226847697,25.0,0.0,59773.041235018325,0.95,False,False,True,False,0.8522326545018438,4022.0,3427.679736406416
260960,Hepatite B,0.4860526315789473,-0.18396541430916824,54.0,0.0,20072.56783322285,0.95,False,True,False,False,0.8988992448407541,3800.0,3415.8171303948657
510790,Poliomielite (3ª dose),0.7652241513345426,-0.11142659325663473,38.0,0.0,59782.626635152206,0.95,False,False,True,False,0.8816387680038993,3859.0,3402.2440057270474
260960,BCG,0.3513157894736842,-0.30813252194678503,54.0,0.0,20072.56783322285,0.9,True,False,False,False,0.8893449798476197,3800.0,3379.510923420955
150420,Poliomielite (3ª dose),0.8645238095238095,-0.1409488272921109,21.0,4.0,36576.95294766502,0.95,False,False,True,False,0.8029496146614516,4200.0,3372.388381578097
420420,Poliomielite (3ª dose),0.8089304257528557,-0.05024339398963362,36.0,1.0,69153.53729615166,0.95,False,False,True,False,0.874185080944253,3852.0,3367.3609317972623
315460,Hepatite B,0.7169517884914464,0.12629908905550757,72.0,0.0,19214.10031716769,0.95,False,True,False,False,0.8627704932221154,3858.0,3328.5685628509214
412550,Hepatite B,0.7123893805309734,-0.0905949391453037,31.0,1.0,103019.05177958185,0.95,False,True,False,False,0.8157245108973019,4068.0,3318.367310330224
315460,BCG,0.6601866251944012,-0.11177147311341507,72.0,0.0,19214.10031716769,0.9,True,False,False,False,0.8553133942316238,3858.0,3299.7990749456044
